Pin Code,Location,Latitude,Longitude
303119 ,"Antela,Bagawas Ahiran,Bagawas Choriyasi,Bajrangpura,Bhabroo,Jawanpura,Luhakna Khurd",27.451433234000035,76.07370500000007
303120 ,"Amloda,Behlod,Bobadi,Chharsa,Dantala Meena,Dhola,Gathwadi,Jaichandpura,Kanwarpura,Khora Lad khani,Surana,Tala",27.18865535200007,76.05820000000006
303301 ,"Bassi,Benada,Chanwandia,Deogaon,Doodhali,Kacholiya,Lalgarh,Manoharpura,Mansar Khedi,Palawalan Jatan,Toda Bhata",26.833198665000054,76.04988500000007
303302 ,"Bas Badwa,Danau Kalan,Garh,Hemlyawala,Toonga",26.744920000000036,76.14260933500003
303305 ,"Badwa,Dharampura,Dhula,Jatwara,Jhajwar,Jhar,Newar,Padasoli,Rajpura",26.831415462000052,76.18516500000004
303328 ,"Bhadwa,Bhaislana,Bhojpura,Dhani Boraj,Dheendha,Hingonia,Jobner,Jorpura,Jorpura Sundariawas,Kalakh,Kodi,Mundoti,Sinodiya",27.018355000000042,75.43840400000005
303329 ,A C jobner,26.979100000000074,75.34916684800004
303331 ,Asalpur,26.925730000000044,75.80659000000003
303338 ,"Akoda,Bobas,Boraj,Gudha Bersal,Hirnoda,Kachroda,Malyawas,Phulera,Phulera Bazar,Rojdi,Shardulpura,Teja Ka bas,Ugariwas",26.879625000000033,75.29119745300005
303339 ,Manda Bhim singh,26.925730000000044,75.80659000000003
303348 ,"Chainpura,Gidhani,Mamana,Marwa,Naraina,Sanwarda,Srirampura",26.841635000000053,75.08067595400007
303601 ,"Amarsar,Hanutia,Hanutpura,Markhi,Nayan,Radawas",27.370295000000056,75.83041412800003
303602 ,"Astikalan,Badhal,Deva Ka bas,Gudhaliya,Itawa,Kishanpura,Luniawas,Nangal Govind,Turkyawas",27.24932000000007,75.44234680800008
303603 ,"Bagawas,Baseri Khurd,Bhainsawa,Doongri Khurd,Doongrikalan,Harsoli,Karansar,Khedi Milk,Kishangarh Renwal,Lalasar,Mundiagaarh,Ramjipura,Renwal,Surmalikpur",27.149745000000053,75.40720517100004
303604 ,"Habaspura,Kazipura,Khandel,Korsina,Mokhampura,Salt Colony,Sambhar Lake,Tyod",26.98643383800004,75.26827500000007
303701 ,"Bhato Ki gali,Chatarpura,Deogudha,Jahota,Jairampura,Jalsu,Kanipura,Nangal Ladi,Punana,Radahkishanpura,Raghunathpura",27.08825500000006,75.63969125000006
303702 ,"Chomu,Hadota,Khadi Bagh,Sirsali,Tankarda",27.188375000000065,75.75583502400008
303704 ,"Bhurthal,Chetawala,Jaitpura I a,Khore Shyamdas,Nangal Purohit,Rambura Dabari",27.11987238900008,75.76623500000005
303706 ,"Bassi Naga,Bhamori,Durjania Was,Hathod,Kalwad,Machwa,Mundota,Pachar",26.993295000000046,75.57476113400008
303712 ,"Anantpura,Bhutera,Dhoblai,Dhodsar,Govindgarh,Hasteda,Malikpur,Manda Bhinda,Nangal Turkan",27.260384574000057,75.65916812000006
303801 ,"Alisar,Chinoi,Dhola Ka bas,Jaisinghpura,Kaladera,Kanarpura,Naupura,Pratapura,Raithal,Sandarsar",27.206260000000043,75.57590294600004
303802 ,Tripolia Chomu,26.925730000000044,75.80659000000003
303803 ,"Bilanderpur,Govindpura Baseri,Kariri,Khejroli,Singot Kalan,Singot Khurd",27.32980500000008,75.68703652500005
303804 ,"Amarpura,Charanwas,Dhanota,Etwa Bhopji,Nangal Koju,Niwana,Raopura,Tigaria",27.29353375000005,75.75790000000006
303805 ,"Bagwara,Bilochi,Cheethwari,Chonp,Daulatpura,Manpura Machedi,Morija,Rundal,Sewapura",27.11880344900004,75.86183000000005
303806 ,"Bansa,Dholi,Gulab Bari,Jatanwali,Mahar Kalan,Mahar Khurd,Naya Bas,Samod,Shivsinghpura",27.215539957000033,75.83599500000008
303807 ,"Bhopawa,Hathnoda,Loharwada,Nangal Bharda,Udaipuria",27.229930000000024,75.76533998000008
303901 ,"Akodiya,Chaksu,Chhandel Kalan,Garwasi,Kadera,Kareda Khurd,Kothoon,Malpuria,Mandlia Meda,Nimodiya,Sanwalia,Sawai Madhosinghpura,Shaakar Khawda,Silki Doongari,Tamariya,Thali,Thoomli Ka bas",26.58943000000005,75.90438374400003
303903 ,"Badapadampura,Beelwa,Chandlai,Khajalpura,Khijuria Brahmin,Kumariawas,Sambharia,Shivdaspura,Teetaria,Toontoli,Yaarlipura",26.68888000000004,75.91045968200007
303904 ,"Chittora,Chittora Renwal,Dabla Kalan,Gohandi,Harsulia,Mohabatpura,Pahandia,Panwalia,Peepla",26.67402500000003,75.68053438900006
303905 ,"Dadiya,Goner,Mohanpura,Sriram Ki nangal,Vidhani,Watika",26.705220000000054,75.80539379300006
303908 ,"Achalpura,Arp Dhelana,Barodiya,Jhapda Kalan,Kashipura,Khera Raniwas,Kotkhawada,Radoli,Ramnagar,Roopa Hedi kalan,Roopahedi Khurd,Theekariya Gujran,Theekariya Meena",26.635280000000023,76.10363785000004
